Drug Name,Current Indication,Possible Repurposed Use,Repurposing Score (%),Molecular Formula,Mechanism of Action,Side Effects,Approval Year,Generic Name,Brand Name,Side Effect Prediction (AI/ML),Pharmacokinetics (ADME),Clinical Trial Data,Preclinical Studies,Pathway Analysis,Dosage Forms,Recommended Dosage,Marketed By,Half-Life (t½) (hours),AI Predicted Repurposing Potential,AI-Based Drug-Drug Interaction Risk,Bioavailability,Absorption Rate,Metabolism Type,AI-Powered Personalized Medicine Suitability
Levothyroxine,Gastric Ulcer,Liver Disease,79.42,C13H18O2,AMPK Activator,Muscle Pain,1965,Acetylsalicylic Acid,Prilosec,High Risk,High Bioavailability,Completed,In Vitro Studies,Immune Response Pathway,Injection,50mg daily,Pfizer,12,Low,Low Risk,High (>80%),Moderate,Renal,Suitable
Aspirin,Acid Reflux,Cancer Therapy,71.34,C4H11N5,HMG-CoA Reductase Inhibitor,Acid Reflux,1965,Omeprazole,Prilosec,Low Risk,Slow Metabolism,Phase 3,Toxicology Report,Serotonin Pathway,Topical Gel,10mg once daily,Novartis,6,Moderate,Moderate Risk,High (>80%),Moderate,Liver,Partially Suitable
Metformin,Hypertension,Migraine Treatment,31.82,C4H11N5,HMG-CoA Reductase Inhibitor,"Headache, Rash",1996,Acetylsalicylic Acid,Lipitor,Low Risk,Renal Excretion,Phase 4,No Preclinical Data,MAPK Pathway,Syrup,500mg twice a day,Novartis,6,High,Moderate Risk,High (>80%),Moderate,Liver,Partially Suitable
Ibuprofen,Inflammation,Cancer Therapy,35.73,C9H8O4,HMG-CoA Reductase Inhibitor,Muscle Pain,1994,Omeprazole,Lipitor,High Risk,Slow Metabolism,Ongoing,No Preclinical Data,Immune Response Pathway,Topical Gel,500mg twice a day,Merck,24,Low,Moderate Risk,Low (<50%),Fast,Liver,Partially Suitable
Atorvastatin,Cholesterol Control,Cancer Therapy,47.11,C17H19N3O3S,HMG-CoA Reductase Inhibitor,Muscle Pain,1965,Ibuprofen,Lipitor,High Risk,Renal Excretion,Phase 2,Toxicology Report,MAPK Pathway,Topical Gel,250mg every 8 hours,Pfizer,24,Low,Low Risk,Low (<50%),Fast,Liver,Partially Suitable
Omeprazole,Acid Reflux,Weight Loss,52.11,C4H11N5,NSAID,Gastrointestinal Issues,1996,Acetylsalicylic Acid,Prilosec,Low Risk,High Bioavailability,Completed,In Vitro Studies,PI3K-AKT Pathway,Topical Gel,500mg twice a day,Roche,6,Moderate,Low Risk,Low (<50%),Moderate,Renal,Suitable
Losartan,Gastric Ulcer,Liver Disease,90.19,C33H35FN2O5,AMPK Activator,"Headache, Rash",1971,Atorvastatin Calcium,Lipitor,Moderate Risk,Slow Metabolism,Ongoing,Toxicology Report,PI3K-AKT Pathway,Capsule,500mg twice a day,Novartis,2,High,Moderate Risk,High (>80%),Slow,Renal,Suitable
Paracetamol,Gastric Ulcer,Liver Disease,42.46,C13H18O2,COX Inhibitor,Acid Reflux,1987,Metformin Hydrochloride,Lipitor,Moderate Risk,Liver Metabolism,Phase 2,In Vitro Studies,PI3K-AKT Pathway,Tablet,250mg every 8 hours,Pfizer,12,High,Low Risk,Moderate (50-80%),Slow,Gut,Not Suitable
Ranitidine,Blood Thinner,Migraine Treatment,36.52,C33H35FN2O5,HMG-CoA Reductase Inhibitor,Acid Reflux,1987,Ibuprofen,Glucophage,Moderate Risk,Liver Metabolism,Phase 3,Toxicology Report,MAPK Pathway,Injection,As prescribed,Novartis,6,High,Moderate Risk,Moderate (50-80%),Fast,Enzyme-Specific,Suitable
Simvastatin,Diabetes,Liver Disease,93.49,C33H35FN2O5,NSAID,Acid Reflux,1996,Omeprazole,Glucophage,Moderate Risk,Renal Excretion,Phase 2,Animal Testing,Immune Response Pathway,Capsule,250mg every 8 hours,AstraZeneca,12,High,Moderate Risk,Low (<50%),Slow,Renal,Partially Suitable
Levothyroxine,Fever,Liver Disease,60.83,C17H19N3O3S,NSAID,Gastrointestinal Issues,1987,Ibuprofen,Prilosec,High Risk,High Bioavailability,Phase 4,Toxicology Report,Serotonin Pathway,Topical Gel,10mg once daily,Novartis,2,High,Moderate Risk,High (>80%),Moderate,Renal,Partially Suitable
Aspirin,Gastric Ulcer,Antiviral,62.45,C13H18O2,Proton Pump Inhibitor,Gastrointestinal Issues,1996,Acetylsalicylic Acid,Aspirin,Low Risk,Liver Metabolism,Phase 3,No Preclinical Data,PI3K-AKT Pathway,Tablet,As prescribed,Pfizer,2,Low,Moderate Risk,Low (<50%),Fast,Enzyme-Specific,Suitable
Metformin,Acid Reflux,Migraine Treatment,39.45,C17H19N3O3S,Proton Pump Inhibitor,"Headache, Rash",1994,Ibuprofen,Aspirin,High Risk,Rapid Absorption,Phase 1,Animal Testing,MAPK Pathway,Tablet,250mg every 8 hours,Merck,48,High,Low Risk,Low (<50%),Slow,Gut,Partially Suitable
Ibuprofen,Inflammation,Weight Loss,36.55,C9H8O4,Proton Pump Inhibitor,Acid Reflux,1994,Ibuprofen,Advil,High Risk,Rapid Absorption,Phase 1,Toxicology Report,Serotonin Pathway,Syrup,250mg every 8 hours,Merck,12,Low,Low Risk,Low (<50%),Moderate,Enzyme-Specific,Suitable
Atorvastatin,Acid Reflux,Anti-Aging,68.81,C13H18O2,NSAID,"Headache, Rash",1996,Metformin Hydrochloride,Advil,Moderate Risk,Liver Metabolism,Completed,No Preclinical Data,Serotonin Pathway,Capsule,500mg twice a day,Merck,6,Moderate,High Risk,High (>80%),Moderate,Liver,Partially Suitable
Omeprazole,Acid Reflux,Parkinson's,84.22,C9H8O4,AMPK Activator,Gastrointestinal Issues,1994,Acetylsalicylic Acid,Prilosec,Moderate Risk,Rapid Absorption,Phase 1,Animal Testing,Dopaminergic Pathway,Tablet,As prescribed,Novartis,12,Moderate,High Risk,High (>80%),Moderate,Liver,Not Suitable
Losartan,Acid Reflux,Migraine Treatment,66.65,C9H8O4,AMPK Activator,Acid Reflux,1971,Omeprazole,Lipitor,High Risk,Liver Metabolism,Completed,No Preclinical Data,MAPK Pathway,Syrup,As prescribed,Pfizer,6,High,High Risk,Low (<50%),Slow,Gut,Not Suitable
Paracetamol,Thyroid Hormone Replacement,Liver Disease,33.64,C13H18O2,HMG-CoA Reductase Inhibitor,"Headache, Rash",1994,Metformin Hydrochloride,Glucophage,Low Risk,High Bioavailability,Phase 4,No Preclinical Data,PI3K-AKT Pathway,Capsule,500mg twice a day,Roche,12,Low,High Risk,Moderate (50-80%),Slow,Renal,Not Suitable
Ranitidine,Thyroid Hormone Replacement,Parkinson's,38.65,C13H18O2,Proton Pump Inhibitor,Muscle Pain,1971,Acetylsalicylic Acid,Prilosec,Moderate Risk,Liver Metabolism,Completed,Toxicology Report,Dopaminergic Pathway,Capsule,10mg once daily,Pfizer,24,Low,Low Risk,High (>80%),Slow,Gut,Not Suitable
Simvastatin,Hypertension,Autoimmune Disorders,90.36,C9H8O4,HMG-CoA Reductase Inhibitor,"Headache, Rash",1965,Acetylsalicylic Acid,Lipitor,Moderate Risk,Liver Metabolism,Phase 2,In Vitro Studies,Serotonin Pathway,Topical Gel,50mg daily,Pfizer,48,Moderate,High Risk,Moderate (50-80%),Fast,Enzyme-Specific,Not Suitable
Levothyroxine,Gastric Ulcer,Liver Disease,80.04,C4H11N5,HMG-CoA Reductase Inhibitor,"Nausea, Dizziness",1994,Omeprazole,Glucophage,Low Risk,Rapid Absorption,Completed,Animal Testing,MAPK Pathway,Syrup,250mg every 8 hours,Roche,48,Low,Moderate Risk,Low (<50%),Moderate,Enzyme-Specific,Suitable
Aspirin,Hypertension,Migraine Treatment,72.17,C9H8O4,HMG-CoA Reductase Inhibitor,"Headache, Rash",1971,Atorvastatin Calcium,Lipitor,Low Risk,High Bioavailability,Phase 2,No Preclinical Data,Serotonin Pathway,Topical Gel,50mg daily,Roche,12,High,Moderate Risk,Moderate (50-80%),Moderate,Gut,Partially Suitable
Metformin,Hypertension,Cardiovascular Disease,81.51,C4H11N5,COX Inhibitor,"Nausea, Dizziness",1996,Omeprazole,Aspirin,High Risk,Renal Excretion,Phase 2,Animal Testing,MAPK Pathway,Injection,10mg once daily,Roche,24,Moderate,Moderate Risk,High (>80%),Moderate,Enzyme-Specific,Suitable
Ibuprofen,Fever,Liver Disease,88.22,C13H18O2,HMG-CoA Reductase Inhibitor,Gastrointestinal Issues,1971,Metformin Hydrochloride,Aspirin,Moderate Risk,Rapid Absorption,Ongoing,Toxicology Report,PI3K-AKT Pathway,Injection,10mg once daily,Merck,48,Moderate,High Risk,Low (<50%),Moderate,Renal,Partially Suitable
Atorvastatin,Pain Relief,Autoimmune Disorders,90.22,C17H19N3O3S,AMPK Activator,"Nausea, Dizziness",1987,Atorvastatin Calcium,Glucophage,Moderate Risk,Renal Excretion,Phase 1,No Preclinical Data,Immune Response Pathway,Topical Gel,250mg every 8 hours,Pfizer,2,High,Moderate Risk,Low (<50%),Fast,Renal,Suitable
Omeprazole,Blood Thinner,Antiviral,76.65,C9H8O4,HMG-CoA Reductase Inhibitor,Muscle Pain,1971,Ibuprofen,Lipitor,Moderate Risk,Liver Metabolism,Ongoing,No Preclinical Data,Immune Response Pathway,Syrup,As prescribed,Pfizer,48,Low,High Risk,Moderate (50-80%),Moderate,Liver,Partially Suitable
Losartan,Diabetes,Weight Loss,80.68,C33H35FN2O5,HMG-CoA Reductase Inhibitor,Gastrointestinal Issues,1965,Ibuprofen,Lipitor,Moderate Risk,Rapid Absorption,Ongoing,Toxicology Report,PI3K-AKT Pathway,Injection,500mg twice a day,Roche,12,Low,High Risk,High (>80%),Fast,Renal,Suitable
Paracetamol,Thyroid Hormone Replacement,Migraine Treatment,53.87,C13H18O2,NSAID,"Nausea, Dizziness",1994,Atorvastatin Calcium,Aspirin,High Risk,High Bioavailability,Completed,No Preclinical Data,Dopaminergic Pathway,Syrup,50mg daily,AstraZeneca,6,Moderate,High Risk,Moderate (50-80%),Fast,Renal,Partially Suitable
Ranitidine,Fever,Weight Loss,85.03,C33H35FN2O5,AMPK Activator,Acid Reflux,1965,Acetylsalicylic Acid,Lipitor,High Risk,High Bioavailability,Completed,Toxicology Report,PI3K-AKT Pathway,Topical Gel,10mg once daily,Pfizer,2,Moderate,Low Risk,Low (<50%),Slow,Enzyme-Specific,Not Suitable
Simvastatin,Fever,Anti-Aging,40.22,C4H11N5,AMPK Activator,"Headache, Rash",1965,Atorvastatin Calcium,Aspirin,High Risk,Rapid Absorption,Phase 3,In Vitro Studies,MAPK Pathway,Capsule,500mg twice a day,AstraZeneca,24,Moderate,Moderate Risk,Low (<50%),Fast,Gut,Suitable
Levothyroxine,Thyroid Hormone Replacement,Parkinson's,91.05,C13H18O2,AMPK Activator,Gastrointestinal Issues,1965,Metformin Hydrochloride,Lipitor,High Risk,Liver Metabolism,Phase 1,Animal Testing,Serotonin Pathway,Tablet,As prescribed,Merck,6,Moderate,High Risk,Low (<50%),Slow,Gut,Partially Suitable
Aspirin,Pain Relief,Parkinson's,43.15,C33H35FN2O5,HMG-CoA Reductase Inhibitor,Muscle Pain,1971,Omeprazole,Advil,Moderate Risk,Liver Metabolism,Phase 3,Toxicology Report,Serotonin Pathway,Capsule,50mg daily,Novartis,24,High,Moderate Risk,High (>80%),Moderate,Renal,Partially Suitable
Metformin,Pain Relief,Cardiovascular Disease,92.61,C33H35FN2O5,HMG-CoA Reductase Inhibitor,Acid Reflux,1965,Ibuprofen,Glucophage,Moderate Risk,High Bioavailability,Completed,Toxicology Report,Immune Response Pathway,Capsule,50mg daily,Merck,6,High,Moderate Risk,Low (<50%),Moderate,Liver,Suitable
Ibuprofen,Blood Thinner,Autoimmune Disorders,80.22,C33H35FN2O5,HMG-CoA Reductase Inhibitor,"Nausea, Dizziness",1994,Ibuprofen,Lipitor,Moderate Risk,Renal Excretion,Phase 3,In Vitro Studies,Immune Response Pathway,Capsule,500mg twice a day,AstraZeneca,6,Moderate,High Risk,Low (<50%),Moderate,Gut,Partially Suitable
Atorvastatin,Fever,Antiviral,46.08,C33H35FN2O5,NSAID,Muscle Pain,1994,Omeprazole,Prilosec,Moderate Risk,Renal Excretion,Phase 3,No Preclinical Data,MAPK Pathway,Tablet,250mg every 8 hours,Novartis,12,Moderate,Low Risk,Low (<50%),Slow,Liver,Partially Suitable
Omeprazole,Gastric Ulcer,Autoimmune Disorders,77.09,C4H11N5,Proton Pump Inhibitor,Gastrointestinal Issues,1994,Ibuprofen,Aspirin,Moderate Risk,Liver Metabolism,Completed,Toxicology Report,PI3K-AKT Pathway,Tablet,As prescribed,Pfizer,24,High,Low Risk,Low (<50%),Moderate,Enzyme-Specific,Partially Suitable
Losartan,Diabetes,Alzheimer's,67.08,C33H35FN2O5,Proton Pump Inhibitor,Gastrointestinal Issues,1965,Atorvastatin Calcium,Lipitor,Moderate Risk,Slow Metabolism,Phase 3,In Vitro Studies,Immune Response Pathway,Tablet,50mg daily,Roche,6,Moderate,High Risk,Low (<50%),Moderate,Enzyme-Specific,Not Suitable
Paracetamol,Hypertension,Autoimmune Disorders,51.29,C4H11N5,NSAID,Acid Reflux,1987,Metformin Hydrochloride,Glucophage,Moderate Risk,Renal Excretion,Phase 2,No Preclinical Data,Immune Response Pathway,Tablet,500mg twice a day,Novartis,48,Low,Moderate Risk,High (>80%),Fast,Renal,Partially Suitable
Ranitidine,Fever,Weight Loss,84.87,C13H18O2,NSAID,"Nausea, Dizziness",1987,Omeprazole,Prilosec,High Risk,High Bioavailability,Phase 3,Toxicology Report,PI3K-AKT Pathway,Syrup,As prescribed,Novartis,12,Low,Low Risk,Low (<50%),Slow,Gut,Partially Suitable
Simvastatin,Fever,Cancer Therapy,75.32,C33H35FN2O5,Proton Pump Inhibitor,"Nausea, Dizziness",1971,Omeprazole,Aspirin,Low Risk,High Bioavailability,Phase 2,Animal Testing,Immune Response Pathway,Capsule,10mg once daily,Merck,24,High,Moderate Risk,Moderate (50-80%),Moderate,Gut,Suitable
Levothyroxine,Hypertension,Cancer Therapy,70.38,C17H19N3O3S,Proton Pump Inhibitor,"Headache, Rash",1996,Acetylsalicylic Acid,Lipitor,High Risk,Renal Excretion,Phase 1,In Vitro Studies,Dopaminergic Pathway,Injection,250mg every 8 hours,Pfizer,6,Low,Low Risk,Low (<50%),Moderate,Liver,Suitable
Aspirin,Cholesterol Control,Weight Loss,78.78,C13H18O2,NSAID,Muscle Pain,1965,Acetylsalicylic Acid,Glucophage,Low Risk,Slow Metabolism,Phase 4,In Vitro Studies,Immune Response Pathway,Tablet,10mg once daily,AstraZeneca,6,High,Moderate Risk,High (>80%),Fast,Gut,Partially Suitable
Metformin,Diabetes,Liver Disease,69.48,C33H35FN2O5,AMPK Activator,Muscle Pain,1994,Omeprazole,Aspirin,High Risk,High Bioavailability,Phase 1,Animal Testing,Immune Response Pathway,Injection,500mg twice a day,AstraZeneca,48,Moderate,Low Risk,Moderate (50-80%),Moderate,Enzyme-Specific,Suitable
Ibuprofen,Diabetes,Alzheimer's,51.66,C4H11N5,Proton Pump Inhibitor,"Nausea, Dizziness",1996,Atorvastatin Calcium,Prilosec,High Risk,Liver Metabolism,Phase 3,No Preclinical Data,Dopaminergic Pathway,Capsule,10mg once daily,Pfizer,6,Moderate,Moderate Risk,High (>80%),Moderate,Liver,Partially Suitable
Atorvastatin,Inflammation,Parkinson's,83.72,C9H8O4,Proton Pump Inhibitor,Muscle Pain,1965,Acetylsalicylic Acid,Advil,Moderate Risk,Liver Metabolism,Phase 3,No Preclinical Data,Immune Response Pathway,Syrup,50mg daily,Pfizer,48,High,Low Risk,Low (<50%),Slow,Enzyme-Specific,Not Suitable
Omeprazole,Thyroid Hormone Replacement,Alzheimer's,61.04,C33H35FN2O5,Proton Pump Inhibitor,Gastrointestinal Issues,1965,Metformin Hydrochloride,Prilosec,Moderate Risk,Renal Excretion,Completed,Toxicology Report,PI3K-AKT Pathway,Topical Gel,10mg once daily,Novartis,12,Low,Low Risk,Moderate (50-80%),Moderate,Renal,Suitable
Losartan,Inflammation,Migraine Treatment,82.07,C13H18O2,COX Inhibitor,Acid Reflux,1965,Omeprazole,Advil,Moderate Risk,Slow Metabolism,Phase 1,Animal Testing,MAPK Pathway,Topical Gel,50mg daily,Pfizer,2,High,Moderate Risk,Moderate (50-80%),Slow,Gut,Partially Suitable
Paracetamol,Pain Relief,Autoimmune Disorders,71.96,C9H8O4,HMG-CoA Reductase Inhibitor,"Headache, Rash",1987,Metformin Hydrochloride,Glucophage,High Risk,Slow Metabolism,Ongoing,Animal Testing,MAPK Pathway,Injection,500mg twice a day,Merck,2,High,High Risk,High (>80%),Slow,Renal,Not Suitable
Ranitidine,Hypertension,Liver Disease,36.17,C4H11N5,NSAID,Muscle Pain,1996,Ibuprofen,Aspirin,Moderate Risk,Renal Excretion,Ongoing,Animal Testing,PI3K-AKT Pathway,Topical Gel,500mg twice a day,Pfizer,12,High,High Risk,Moderate (50-80%),Fast,Gut,Partially Suitable
Simvastatin,Thyroid Hormone Replacement,Weight Loss,38.4,C4H11N5,NSAID,Muscle Pain,1994,Atorvastatin Calcium,Aspirin,Moderate Risk,High Bioavailability,Phase 3,Animal Testing,MAPK Pathway,Syrup,250mg every 8 hours,Novartis,2,Low,Moderate Risk,Moderate (50-80%),Slow,Liver,Suitable
Levothyroxine,Cholesterol Control,Migraine Treatment,56.44,C17H19N3O3S,HMG-CoA Reductase Inhibitor,Acid Reflux,1994,Omeprazole,Advil,Low Risk,Renal Excretion,Completed,In Vitro Studies,MAPK Pathway,Injection,10mg once daily,Roche,48,High,High Risk,Low (<50%),Slow,Enzyme-Specific,Not Suitable
Aspirin,Acid Reflux,Liver Disease,79.82,C9H8O4,Proton Pump Inhibitor,Gastrointestinal Issues,1996,Acetylsalicylic Acid,Aspirin,Moderate Risk,Rapid Absorption,Phase 2,Animal Testing,PI3K-AKT Pathway,Tablet,250mg every 8 hours,AstraZeneca,6,Low,High Risk,High (>80%),Moderate,Liver,Suitable
Metformin,Gastric Ulcer,Anti-Aging,38.27,C13H18O2,HMG-CoA Reductase Inhibitor,Muscle Pain,1994,Omeprazole,Glucophage,Low Risk,Liver Metabolism,Phase 4,Toxicology Report,Immune Response Pathway,Capsule,10mg once daily,Roche,2,Low,Moderate Risk,Moderate (50-80%),Fast,Liver,Suitable
Ibuprofen,Inflammation,Antiviral,65.92,C17H19N3O3S,Proton Pump Inhibitor,"Nausea, Dizziness",1987,Omeprazole,Advil,Low Risk,Slow Metabolism,Phase 2,In Vitro Studies,Serotonin Pathway,Topical Gel,As prescribed,Novartis,6,Low,Low Risk,Low (<50%),Moderate,Renal,Partially Suitable
Atorvastatin,Thyroid Hormone Replacement,Autoimmune Disorders,87.21,C4H11N5,HMG-CoA Reductase Inhibitor,Acid Reflux,1971,Acetylsalicylic Acid,Advil,Low Risk,Slow Metabolism,Phase 1,Toxicology Report,MAPK Pathway,Syrup,10mg once daily,Novartis,2,Moderate,High Risk,Moderate (50-80%),Slow,Liver,Not Suitable
Omeprazole,Diabetes,Antiviral,61.56,C4H11N5,AMPK Activator,Gastrointestinal Issues,1994,Atorvastatin Calcium,Aspirin,Moderate Risk,Slow Metabolism,Ongoing,Animal Testing,Serotonin Pathway,Injection,As prescribed,Novartis,24,Moderate,High Risk,High (>80%),Slow,Enzyme-Specific,Suitable
Losartan,Fever,Cardiovascular Disease,47.88,C33H35FN2O5,HMG-CoA Reductase Inhibitor,Muscle Pain,1971,Omeprazole,Aspirin,High Risk,Slow Metabolism,Completed,Animal Testing,Immune Response Pathway,Topical Gel,50mg daily,Merck,48,Moderate,Low Risk,Moderate (50-80%),Slow,Renal,Not Suitable
Paracetamol,Thyroid Hormone Replacement,Cancer Therapy,64.12,C13H18O2,AMPK Activator,"Nausea, Dizziness",1996,Omeprazole,Advil,Low Risk,Renal Excretion,Completed,Animal Testing,PI3K-AKT Pathway,Tablet,500mg twice a day,Novartis,2,High,High Risk,High (>80%),Moderate,Liver,Partially Suitable
Ranitidine,Diabetes,Liver Disease,40.49,C4H11N5,Proton Pump Inhibitor,Acid Reflux,1996,Omeprazole,Aspirin,High Risk,Rapid Absorption,Phase 1,Toxicology Report,Dopaminergic Pathway,Syrup,500mg twice a day,Pfizer,6,Low,Moderate Risk,Low (<50%),Fast,Enzyme-Specific,Not Suitable
Simvastatin,Acid Reflux,Cancer Therapy,64.67,C4H11N5,HMG-CoA Reductase Inhibitor,Muscle Pain,1965,Acetylsalicylic Acid,Lipitor,High Risk,Slow Metabolism,Phase 3,No Preclinical Data,Immune Response Pathway,Capsule,As prescribed,Novartis,6,Low,Moderate Risk,High (>80%),Fast,Liver,Not Suitable
Levothyroxine,Hypertension,Anti-Aging,94.82,C33H35FN2O5,NSAID,Muscle Pain,1996,Atorvastatin Calcium,Prilosec,High Risk,Slow Metabolism,Phase 2,No Preclinical Data,Dopaminergic Pathway,Syrup,500mg twice a day,AstraZeneca,6,High,Low Risk,High (>80%),Moderate,Liver,Suitable
Aspirin,Thyroid Hormone Replacement,Weight Loss,76.59,C13H18O2,Proton Pump Inhibitor,Acid Reflux,1987,Atorvastatin Calcium,Prilosec,Low Risk,Slow Metabolism,Completed,No Preclinical Data,PI3K-AKT Pathway,Injection,As prescribed,Novartis,2,Low,Moderate Risk,High (>80%),Moderate,Enzyme-Specific,Suitable
Metformin,Fever,Alzheimer's,69.95,C4H11N5,COX Inhibitor,"Nausea, Dizziness",1965,Acetylsalicylic Acid,Glucophage,High Risk,Renal Excretion,Phase 4,Animal Testing,Serotonin Pathway,Injection,250mg every 8 hours,Roche,2,Low,Low Risk,High (>80%),Moderate,Renal,Suitable
Ibuprofen,Cholesterol Control,Autoimmune Disorders,42.81,C9H8O4,AMPK Activator,Muscle Pain,1994,Ibuprofen,Prilosec,Low Risk,Rapid Absorption,Phase 1,Toxicology Report,PI3K-AKT Pathway,Capsule,10mg once daily,Pfizer,2,High,Moderate Risk,Low (<50%),Moderate,Enzyme-Specific,Suitable
Atorvastatin,Pain Relief,Anti-Aging,62.51,C9H8O4,Proton Pump Inhibitor,Acid Reflux,1987,Ibuprofen,Aspirin,Low Risk,Rapid Absorption,Phase 3,Toxicology Report,Immune Response Pathway,Capsule,250mg every 8 hours,Roche,48,Low,Moderate Risk,Moderate (50-80%),Fast,Renal,Not Suitable
Omeprazole,Gastric Ulcer,Cardiovascular Disease,85.46,C13H18O2,COX Inhibitor,Acid Reflux,1971,Ibuprofen,Aspirin,High Risk,High Bioavailability,Ongoing,Toxicology Report,Immune Response Pathway,Syrup,250mg every 8 hours,Roche,12,Low,Moderate Risk,Moderate (50-80%),Slow,Liver,Suitable
Losartan,Cholesterol Control,Autoimmune Disorders,78.01,C13H18O2,AMPK Activator,Muscle Pain,1994,Omeprazole,Lipitor,High Risk,Liver Metabolism,Phase 2,In Vitro Studies,PI3K-AKT Pathway,Capsule,50mg daily,Novartis,6,Moderate,Low Risk,Low (<50%),Moderate,Liver,Suitable
Paracetamol,Blood Thinner,Migraine Treatment,34.58,C9H8O4,Proton Pump Inhibitor,Gastrointestinal Issues,1965,Omeprazole,Glucophage,Low Risk,Rapid Absorption,Phase 1,Animal Testing,MAPK Pathway,Syrup,250mg every 8 hours,Roche,12,High,Moderate Risk,Low (<50%),Moderate,Gut,Partially Suitable
Ranitidine,Acid Reflux,Cardiovascular Disease,82.99,C17H19N3O3S,HMG-CoA Reductase Inhibitor,Muscle Pain,1971,Ibuprofen,Lipitor,Low Risk,Slow Metabolism,Phase 1,Animal Testing,Dopaminergic Pathway,Topical Gel,500mg twice a day,Novartis,48,Low,Moderate Risk,Moderate (50-80%),Slow,Liver,Partially Suitable
Simvastatin,Cholesterol Control,Autoimmune Disorders,69.83,C17H19N3O3S,NSAID,Muscle Pain,1994,Metformin Hydrochloride,Advil,Moderate Risk,Liver Metabolism,Phase 3,Animal Testing,PI3K-AKT Pathway,Topical Gel,500mg twice a day,Roche,48,Low,Low Risk,High (>80%),Fast,Liver,Not Suitable
Levothyroxine,Fever,Alzheimer's,49.47,C4H11N5,Proton Pump Inhibitor,Gastrointestinal Issues,1971,Omeprazole,Advil,Moderate Risk,Renal Excretion,Phase 2,Toxicology Report,MAPK Pathway,Syrup,50mg daily,Roche,6,High,High Risk,Moderate (50-80%),Fast,Liver,Partially Suitable
Aspirin,Gastric Ulcer,Anti-Aging,56.65,C13H18O2,AMPK Activator,Acid Reflux,1994,Atorvastatin Calcium,Prilosec,High Risk,High Bioavailability,Phase 1,No Preclinical Data,MAPK Pathway,Capsule,500mg twice a day,Roche,48,Low,High Risk,Moderate (50-80%),Moderate,Liver,Not Suitable
Metformin,Blood Thinner,Antiviral,44.82,C4H11N5,HMG-CoA Reductase Inhibitor,Gastrointestinal Issues,1971,Omeprazole,Glucophage,Moderate Risk,Slow Metabolism,Ongoing,Toxicology Report,Immune Response Pathway,Topical Gel,250mg every 8 hours,Pfizer,6,High,Low Risk,Moderate (50-80%),Fast,Renal,Suitable
Ibuprofen,Hypertension,Cancer Therapy,85.76,C17H19N3O3S,NSAID,Acid Reflux,1965,Ibuprofen,Lipitor,Low Risk,High Bioavailability,Phase 2,No Preclinical Data,PI3K-AKT Pathway,Injection,250mg every 8 hours,AstraZeneca,12,Low,Low Risk,Low (<50%),Fast,Enzyme-Specific,Suitable
Atorvastatin,Gastric Ulcer,Autoimmune Disorders,55.77,C13H18O2,NSAID,"Headache, Rash",1971,Atorvastatin Calcium,Aspirin,Moderate Risk,Rapid Absorption,Phase 3,In Vitro Studies,PI3K-AKT Pathway,Capsule,As prescribed,Merck,48,Low,Low Risk,Low (<50%),Slow,Renal,Not Suitable
Omeprazole,Thyroid Hormone Replacement,Cancer Therapy,81.01,C33H35FN2O5,AMPK Activator,"Headache, Rash",1996,Ibuprofen,Advil,High Risk,Liver Metabolism,Completed,Toxicology Report,PI3K-AKT Pathway,Topical Gel,500mg twice a day,Novartis,2,High,Low Risk,Low (<50%),Moderate,Renal,Partially Suitable
Losartan,Blood Thinner,Cancer Therapy,83.18,C9H8O4,NSAID,Muscle Pain,1965,Atorvastatin Calcium,Prilosec,Moderate Risk,Slow Metabolism,Ongoing,Animal Testing,MAPK Pathway,Topical Gel,250mg every 8 hours,Novartis,48,Low,Moderate Risk,Low (<50%),Fast,Liver,Not Suitable
Paracetamol,Hypertension,Alzheimer's,67.9,C4H11N5,Proton Pump Inhibitor,Acid Reflux,1994,Ibuprofen,Prilosec,Moderate Risk,Liver Metabolism,Ongoing,No Preclinical Data,Immune Response Pathway,Capsule,50mg daily,Roche,48,Low,Moderate Risk,High (>80%),Slow,Renal,Partially Suitable
Ranitidine,Cholesterol Control,Weight Loss,89.16,C13H18O2,Proton Pump Inhibitor,Gastrointestinal Issues,1965,Metformin Hydrochloride,Aspirin,Moderate Risk,Renal Excretion,Phase 3,Toxicology Report,MAPK Pathway,Syrup,As prescribed,Novartis,6,Low,Low Risk,High (>80%),Slow,Enzyme-Specific,Suitable
Simvastatin,Diabetes,Autoimmune Disorders,94.86,C9H8O4,Proton Pump Inhibitor,Gastrointestinal Issues,1996,Omeprazole,Lipitor,Moderate Risk,High Bioavailability,Ongoing,In Vitro Studies,Dopaminergic Pathway,Injection,500mg twice a day,Merck,6,Low,Low Risk,Moderate (50-80%),Fast,Enzyme-Specific,Partially Suitable
Levothyroxine,Fever,Anti-Aging,82.1,C17H19N3O3S,NSAID,Gastrointestinal Issues,1971,Atorvastatin Calcium,Advil,Moderate Risk,Rapid Absorption,Phase 3,Animal Testing,PI3K-AKT Pathway,Tablet,50mg daily,Pfizer,48,Moderate,High Risk,High (>80%),Moderate,Renal,Suitable
